Dataset,Classifier,ACC,TPR,F1,Time to execute
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.181513309
0,Random Forest,0.889823609,0.775591086,0.857862269,0.377989531
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.08876276
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.74927711
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.201452494
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.231382608
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.741029978
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.026916265
1,Random Forest,0.88767801,0.880425532,0.899186963,0.197472334
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.025929928
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.235698223
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.651560545
2,Linear SVM,0.9223,0.906,0.920701271,22.59967589
2,RBF SVM,0.529,0.999,0.679610748,135.1363263
2,Decision Tree,0.9574,0.9526,0.957583585,0.362032175
2,Random Forest,0.8842,0.86,0.870342533,0.354053974
2,Naive Bayes,0.8429,0.9432,0.857485788,0.130650282
2,Gradient Boost,0.971,0.9708,0.970991392,21.19633842
0,Nearest Neighbors (KNN),0.941383989,0.92342311,0.932970762,4.364840508
0,Linear SVM,0.923292628,0.890975589,0.911414797,11.12924743
0,RBF SVM,0.859430122,0.810314565,0.836153387,62.15744638
0,Decision Tree,0.920578924,0.859744429,0.905478656,0.167552948
0,Random Forest,0.887743103,0.755396385,0.856948886,0.363030195
0,Naive Bayes,0.605517865,0.997959184,0.691573224,0.096739769
0,Gradient Boost,0.945002261,0.92506827,0.937093821,11.48828864
1,Nearest Neighbors (KNN),0.904674047,0.894579534,0.90684966,0.171524286
1,Linear SVM,0.865488588,0.878895643,0.871493717,0.19647336
1,RBF SVM,0.910578106,0.898885512,0.912586932,0.611366272
1,Decision Tree,0.909104824,0.91597771,0.912793023,0.025931597
1,Random Forest,0.891348913,0.883181358,0.890973729,0.187497854
1,Naive Bayes,0.869178625,0.884569402,0.875468428,0.024933815
1,Gradient Boost,0.920177668,0.920283688,0.9228882,1.150930882
2,Nearest Neighbors (KNN),0.8308,0.786,0.81857764,3.687214375
2,Linear SVM,0.9223,0.906,0.920701271,22.035676
2,RBF SVM,0.529,0.999,0.679610748,135.710886
2,Decision Tree,0.9577,0.9528,0.956993802,0.387963295
2,Random Forest,0.8732,0.8386,0.844680241,0.331114769
2,Naive Bayes,0.8429,0.9432,0.857485788,0.135637522
2,Gradient Boost,0.971,0.9708,0.970991392,21.02977967
,,,,,0.772226564
